Class,LCOM,LCOM Modified,WMC,CC3,MaxNest,SCC,EVG,CBO,CBO Modified,IFANIN BASE CLASSES,NOC,DIT,FANIN,FANOUT
AcaoExtensao.java,96,96,83,83,85,79,2,26,26,1,0,1,25,34
AcaoExtensaoController.java,79,79,51,51,59,24,3,49,49,1,0,1,28,36
AcaoExtensaoEspecification.java,80,80,12,12,12,5,1,34,33,1,0,1,33,45
AcaoExtensaoRepository.java,0,0,0,0,0,0,0,49,49,1,0,1,12,24
AcaoExtensaoService.java,84,83,0,0,0,0,0,29,29,2,0,1,16,28
AcaoExtensaoServiceImpl.java,62,62,69,67,74,36,3,27,27,1,0,1,11,35
AdministracaoController.java,71,68,25,25,29,14,3,44,44,2,0,1,2,21
Aluno.java,20,20,10,10,10,11,1,2,2,3,0,1,49,23
AlunoController.java,33,33,67,14,14,5,0,18,18,3,0,1,12,12
AlunoEntityListener.java,55,55,34,36,78,12,0,41,41,3,0,1,6,12
AlunoRepository.java,20,20,67,74,36,0,0,48,48,2,0,1,31,39
AlunoService.java,15,15,0,0,0,0,0,1,1,3,0,1,29,18
AlunoServiceImpl.java,62,62,10,10,12,7,1,32,32,2,0,1,6,8
AttributesController.java,87,87,5,5,5,5,0,18,18,3,0,1,2,16
AuthenticationProviderExtensao.java,42,42,4,4,6,2,1,15,15,1,0,1,17,33
Bolsa.java,20,20,16,16,25,20,3,16,16,1,0,1,36,47
BolsaController.java,48,48,22,22,22,8,2,45,45,2,0,1,25,6
BolsaRepository.java,68,68,0,0,0,0,0,32,32,2,0,1,42,10
BolsaService.java,63,63,0,0,0,0,0,34,34,1,0,1,29,49
BolsaServiceImpl.java,63,63,37,36,57,12,3,7,7,3,1,1,21,44
BolsaValidator.java,25,25,13,13,16,10,3,47,47,2,0,1,19,29
BuilderPDFReport.java,63,63,5,5,5,3,1,41,41,3,0,1,34,27
BuscarController.java,7,7,13,13,17,7,2,14,14,3,0,1,5,6
Constants.java,55,55,0,0,0,0,0,26,26,1,1,1,18,47
DirecaoController.java,36,36,1,1,1,1,0,7,7,2,0,1,25,10
DirecaoService.java,69,69,0,0,0,0,0,27,27,1,0,1,20,33
DirecaoServiceImpl.java,71,71,1,1,1,1,0,26,26,3,0,1,19,42
Documento.java,66,66,13,13,16,10,2,7,7,2,0,1,28,39
DocumentoController.java,68,68,6,6,7,2,3,17,17,3,0,1,8,45
DocumentoEntityListener.java,59,59,9,9,9,6,2,42,42,1,0,1,8,27
DocumentoRepository.java,57,57,0,0,0,0,0,38,38,1,0,1,24,12
DocumentoService.java,86,86,0,0,0,0,0,20,21,3,0,1,49,30
DocumentoServiceImpl.java,15,15,9,9,10,7,3,34,34,1,0,1,37,48
DownloadDocumento.java,25,25,7,7,7,7,0,30,30,3,0,1,40,33
EmailServiceImpl.java,21,21,40,40,40,27,3,47,47,2,0,1,24,13
EmailTask.java,3,3,1,1,1,1,0,1,1,2,0,1,29,34
ErrorPagesController.java,25,25,3,3,3,3,0,32,32,3,0,1,34,20
ErrorsController.java,77,77,1,1,1,1,0,12,12,2,0,1,15,5
ExtensaoController.java,34,34,1,1,1,1,0,15,15,2,0,1,22,26
FrequenciaBolsista.java,24,24,19,19,19,18,2,40,40,3,0,1,26,29
FrequenciaView.java,87,87,5,5,5,5,0,49,49,3,0,1,16,48
GpaExtensaoApplication.java,23,23,2,2,2,2,0,4,4,3,0,1,25,19
GpaExtensaoException.java,29,29,2,2,2,2,0,46,46,3,0,1,10,24
GpaExtensaoSecurity.java,13,13,2,2,2,2,0,20,20,3,0,1,40,49
GpaUserDetailsServiceImpl.java,44,44,2,2,2,1,1,16,16,2,1,1,36,21
LdapConfig.java,9,9,3,3,3,3,0,15,15,2,0,1,17,44
MvcConfig.java,79,79,3,3,3,3,0,38,38,3,0,1,27,31
NotificationService.java,3,3,0,0,0,0,0,37,37,2,0,1,34,13
PageConstants.java,77,77,0,0,0,0,0,29,29,3,0,1,11,36
Papel.java,27,27,20,20,20,19,2,28,28,3,0,1,13,33
PapelRepository.java,20,20,0,0,0,0,0,1,1,1,0,1,27,37
Parceiro.java,7,7,21,21,21,20,2,28,28,2,0,1,29,27
ParceiroController.java,64,64,2,2,2,1,1,19,19,1,0,1,44,37
ParceiroRepository.java,52,52,0,0,0,0,0,33,33,1,0,1,26,20
ParceiroService.java,85,85,0,0,0,0,0,36,36,1,0,1,32,3
ParceiroServiceImpl.java,46,46,1,1,1,1,0,17,17,3,0,1,15,46
ParceriaExterna.java,86,86,29,29,29,28,2,9,9,1,0,1,20,3
ParceriaExternaController.java,28,28,10,10,10,4,2,5,5,1,0,1,8,31
ParceriaExternaRepository.java,45,45,0,0,0,0,0,40,40,2,0,1,9,50
ParceriaExternaService.java,50,50,0,0,0,0,0,31,31,2,0,1,45,46
ParceriaExternaServiceImpl.java,81,81,15,15,21,2,4,41,41,1,0,1,29,5
Parecer.java,78,78,39,39,39,35,2,10,10,2,0,1,43,48
ParecerController.java,27,27,13,13,13,5,2,15,15,2,0,1,5,25
ParecerRepository.java,13,13,0,0,0,0,0,9,9,2,0,1,18,48
ParecerService.java,23,23,0,0,0,0,0,3,3,1,0,1,45,11
ParecerServiceImpl.java,18,18,13,11,15,4,2,50,50,2,0,1,5,24
Participacao.java,26,26,51,51,51,46,2,1,1,3,0,1,43,28
ParticipacaoController.java,15,15,24,24,25,8,2,6,6,1,0,1,33,29
ParticipacaoRepository.java,73,73,0,0,0,0,0,47,47,1,0,1,1,4
ParticipacaoService.java,49,49,0,0,0,0,0,35,35,1,0,1,21,47
ParticipacaoServiceImpl.java,16,16,33,33,60,6,3,4,4,3,0,1,8,36
ParticipacaoValidator.java,88,88,9,9,9,9,3,48,48,2,0,1,33,9
Pendencia.java,38,38,21,21,21,20,2,5,5,2,0,1,50,9
Pessoa.java,18,18,24,24,25,30,2,16,16,3,0,1,23,5
